# GeoNames-derived (cities1000 via cities.json + all-the-cities feature codes, CC BY 4.0, geonames.org) — CA+US, lat-sorted; col6: 1=primary place, 0=city section/neighbourhood
Kakaʻako	Hawaii	21.30205	-157.85734	US	1
Downtown	Hawaii	21.30249	-157.85837	US	1
East Manoa	Hawaii	21.30544	-157.81145	US	1
Honolulu	Hawaii	21.30694	-157.85833	US	1
Tantalus	Hawaii	21.30856	-157.82837	US	1
Financial District	Hawaii	21.30924	-157.86134	US	1
Ocean Pointe	Hawaii	21.31066	-158.03638	US	1
Chinatown	Hawaii	21.31173	-157.86183	US	1
Upper Palolo	Hawaii	21.31242	-157.78677	US	1
Palolo	Hawaii	21.3128	-157.78041	US	1
Iwilei-Anuenue	Hawaii	21.31523	-157.87316	US	1
Aala	Hawaii	21.31544	-157.86283	US	1
‘Ewa Beach	Hawaii	21.31556	-158.00722	US	1
Manoa	Hawaii	21.31608	-157.80423	US	1
Upper Pauoa	Hawaii	21.31738	-157.83897	US	1
Makiki / Lower Punchbowl / Tantalus	Hawaii	21.31756	-157.83122	US	1
Mayor Wright Housing	Hawaii	21.32025	-157.86412	US	1
Pauoa	Hawaii	21.32076	-157.83839	US	1
Kuakini	Hawaii	21.32129	-157.85567	US	1
Palama	Hawaii	21.32298	-157.86448	US	1
Upper Manoa	Hawaii	21.3231	-157.80626	US	1
Kalihi-Palama	Hawaii	21.32608	-157.87594	US	1
Iroquois Point	Hawaii	21.32776	-157.98301	US	1
Farrington	Hawaii	21.33221	-157.87057	US	1
Kamehameha Heights	Hawaii	21.33393	-157.86282	US	1
Waimānalo Beach	Hawaii	21.33407	-157.70003	US	1
Kapolei	Hawaii	21.33555	-158.0582	US	1
Dowsett Highlands	Hawaii	21.33735	-157.83382	US	1
Liliha - Kapalama	Hawaii	21.33735	-157.85418	US	1
Makakilo / Kapolei / Honokai Hale	Hawaii	21.3374	-158.09676	US	1
Hickam Field	Hawaii	21.33967	-157.96018	US	1
Airport	Hawaii	21.3399	-157.92845	US	1
Ko Olina	Hawaii	21.33993	-158.12562	US	1
‘Ewa Gentry	Hawaii	21.33999	-158.03039	US	1
‘Ālewa Heights	Hawaii	21.34051	-157.84817	US	1
‘Ewa Villages	Hawaii	21.34127	-158.0397	US	1
Nuuanu - Punchbowl	Hawaii	21.34215	-157.82852	US	1
Fort Shafter	Hawaii	21.34411	-157.88628	US	1
